Long_name,units,description,CF_Standard_Name,Variable_Name,frequency,dimensions
Square of Sea Surface Temperature,degC2,Square of temperature of liquid ocean.,square_of_sea_surface_temperature,tossq,day,longitude latitude time
Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,"Sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of 'Diatom Chlorophyll Mass Concentration' plus 'Other Phytoplankton Chlorophyll Mass Concentration'",mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlos,day,longitude latitude time
Sea Surface Temperature,degC,"Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves.",sea_surface_temperature,tos,day,longitude latitude time
Sea Surface Phytoplankton Carbon Concentration,mol m-3,sum of phytoplankton organic carbon component concentrations at the sea surface,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,phycos,day,longitude latitude time
Square of Sea Surface Salinity,1e-06,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",square_of_sea_surface_salinity,sossq,day,longitude latitude time
Sea Surface Salinity,0.001,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",sea_surface_salinity,sos,day,longitude latitude time
Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,m,"The ocean mixed layer is the upper part of the ocean, regarded as being well-mixed. The base of the mixed layer defined by the mixing scheme is a diagnostic of ocean models. ""Thickness"" means the vertical extent of a layer.",ocean_mixed_layer_thickness_defined_by_mixing_scheme,omldamax,day,longitude latitude time
Net Shortwave Surface Radiation,W m-2,Net downward shortwave radiation at the surface,surface_net_downward_shortwave_flux,rss,day,longitude latitude time
Net Longwave Surface Radiation,W m-2,Net longwave surface radiation,surface_net_downward_longwave_flux,rls,day,longitude latitude time
Near-Surface Specific Humidity,1,"Near-surface (usually, 2 meter) specific humidity.",specific_humidity,huss,day,longitude latitude time height2m
